product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itmd28f73dfdbae0?pid=SHOGKRMTAHHJPHU2&lid=LSTSHOGKRMTAHHJPHU2AARVBQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvPA0imKubvgPQNGAUKUwEVSnokski-U4vxcAFIT8ckvlvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Vokline Women sports shoes,Running shoes,Trekking Shoes,Gym shoes...more",Vokline,271,0.07,4.1,158089
https://www.flipkart.com/adidas-blazevox-2-w-running-shoes-women/p/itmd80bdaf916d0a?pid=SHOHGMQAEN8R6MSE&lid=LSTSHOHGMQAEN8R6MSEL3YNAZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHGMQAEN8R6MSE.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,adidas BlazeVox 2 W Running Shoes For Women,adidas,1748,6.65,4.5,361
https://www.flipkart.com/asian-fashion-02-sports-shoes-women-without-laces-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-slip-grey-jogging-walking-gym-party-walking/p/itmf7ct5bpync2uh?pid=SHOF7CRTUHGSHPJW&lid=LSTSHOF7CRTUHGSHPJWE2CSUH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOF7CRTUHGSHPJW.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,asian Fashion-02 sports shoes for women without laces | Running s...more,asian,752,5.43,4.2,21441
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-slip-sneakers-women/p/itm862939e6f73f5?pid=SHOHEPJRUFVVZPH7&lid=LSTSHOHEPJRUFVVZPH7ZT8UJI&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOHEPJRUFVVZPH7.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Fabbmate Trendy Memory Foam Walking Slip On Sneakers For Women (G...more,Fabbmate,307,0.07,4.1,6909
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itmc0b0d71bdca42?pid=SHOGARZCSQGEWMEM&lid=LSTSHOGARZCSQGEWMEMQHY0JV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGARZCSQGEWMEM.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,CAMPUS ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated Fo...more,CAMPUS,869,7.28,4.2,60549
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm3d4242c7b6e52?pid=SHOHBEZ7ZUVWCZMJ&lid=LSTSHOHBEZ7ZUVWCZMJCG3LBU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvNj1IJt8lqZcyHesHh3MYMWb33JOt9QimGaTeOpQgFckPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,490,0.07,4.1,1427
https://www.flipkart.com/tpent-skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itmc47c13ece3e97?pid=SHOHBADYAFSBPFJG&lid=LSTSHOHBADYAFSBPFJG7TXDGM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvObXOJY6T3fZDFPo-Ho7u0s40UnykB20qU4A1h6vIIqrvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,TPENT SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES F...more,TPENT,495,0.07,4.1,530
https://www.flipkart.com/deals4you-sneakers-women/p/itmb224093aba791?pid=SHOGD2FQX9PP54HC&lid=LSTSHOGD2FQX9PP54HCUHIGVM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGD2FQX9PP54HC.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,Deals4you Sneakers For Women,Deals4you,377,0.07,3.9,74883
https://www.flipkart.com/k-footlance-walking-shoes-women/p/itm9092b85991653?pid=SHOGXGJFZRNGUMAH&lid=LSTSHOGXGJFZRNGUMAHWW3NJD&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=79ea2701-b96b-4d2b-9ac3-8e2b190d2540.SHOGXGJFZRNGUMAH.SEARCH&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,K' Footlance Walking Shoes For Women,K' Footlance,310,0.07,3.9,22911
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm0d0338973c591?pid=SHOGKV8PMZRTBG8Z&lid=LSTSHOGKV8PMZRTBG8ZSYDSF1&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_hC1v8DA-p-vICrDbGPtJSNz2eJI7mGfxgg8wVOcdfvMG_2YufWh2CZss_1isGsDLa2J6aPr2j4u1fCqkDtOeTfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=b6lbimcg8w0000001775908365385&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,299,0.07,4,158069
