product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itmc5814f4e2a802?pid=SHOGH3Y29E3ERWYG&lid=LSTSHOGH3Y29E3ERWYGOI2TYK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylysfo2lF7M4iUJRtPqdJI8xR9fm-N0HuxRq6CBrMgorW2g%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,291,0.07,4,158069
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm3d4242c7b6e52?pid=SHOHBEZ7ZUVWCZMJ&lid=LSTSHOHBEZ7ZUVWCZMJCG3LBU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvgJPsSi9EzATnxpwuw_wgKfC8IdsgBk9rM7cXqHyRyxA%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,490,0.07,4.1,1427
https://www.flipkart.com/abros-pastel-running-shoes-women/p/itm54ebf6f4bef28?pid=SHOHKAMB3UYBZCHC&lid=LSTSHOHKAMB3UYBZCHCMJ7GNG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvBFGZx35tPQSwKwV6A0YuWd6CzmeBaiEB4leGYNg1wBfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,Abros PASTEL Running Shoes For Women,Abros,659,7.64,4.4,44
https://www.flipkart.com/tpent-skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itmc47c13ece3e97?pid=SHOHBADYAFSBPFJG&lid=LSTSHOHBADYAFSBPFJG7TXDGM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_58&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylysrcq85t9zccWiuwe94c3A1Bzv8nmVrSTMQmLkTc0b6Ew%3D%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,TPENT SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES F...more,TPENT,495,0.07,4.1,530
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm0d0338973c591?pid=SHOGKV8PMZRTBG8Z&lid=LSTSHOGKV8PMZRTBG8ZSYDSF1&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_62&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyt-SzqjpmxpTbYTWxCj5a8UDdOkmgvtpgpXAtjCVPgJQ_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Mem...more",Fabbmate,299,0.07,4,158069
https://www.flipkart.com/royal-fashion-trendy-women-sport-running-shoes/p/itmaefdd8a599ed3?pid=SHOHHNJQRBKCCMVH&lid=LSTSHOHHNJQRBKCCMVH67WPRE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_67&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyvh4DfkNCPwrhqxxcTstrwYdefQS3CODYC3lc6UvLLiiPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,Royal Fashion Trendy Women Sport | Running Shoes For Women (Green...more,Royal Fashion,454,8.73,4,
https://www.flipkart.com/abros-angel-3-running-shoes-women/p/itmbcb1b0acbc75d?pid=SHOGY76WTXQMGZGU&lid=LSTSHOGY76WTXQMGZGUTROWQV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_68&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylysBY5eWdH3F4ZJFUKh77BwGg4WoQ6rW2iZrdMYWIeNXNBhTy0lUJ14SzoMSv_CzLF0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,Abros ANGEL-3 Running Shoes For Women,Abros,616,6.64,4.1,1262
https://www.flipkart.com/action-athleo-kia-208-comfortable-trendy-lightweight-durable-sports-lace-up-running-shoes-women/p/itm1c11b076083e6?pid=SHOHFXFMZGEHCR9G&lid=LSTSHOHFXFMZGEHCR9GBVKMVM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_71&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylysjY9t19hjiMjd9v64f3aX67T_CChY8_ib0pLga4sgz3jRKtQQVWB8eNWYNLe7VuyQ%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,ACTION Athleo KIA-208 Comfortable Trendy Lightweight Durable Spor...more,ACTION,842,6.74,3.9,162
https://www.flipkart.com/jqr-benny-running-shoes-women/p/itme84bc33a836b1?pid=SHOHKTGFCTHJV2YV&lid=LSTSHOHKTGFCTHJV2YV6MICYC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_72&otracker=search&otracker1=search&fm=Search&iid=en_Lj3uClNDNPpPrQVauvGytQPVAkrMj3yv50Yu_KBylyuJ2sfXxS8ViGTuPTdt_VqgrogzqUXjOiRDE2D7jz_8gvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,JQR BENNY Running Shoes For Women,JQR,1119,8.5,4,
https://www.flipkart.com/skitter-stylish-light-weight-comfortable-sports-shoes-women-walking/p/itm0f251ed5c3b56?pid=SHOHBEZ7MMGHBPUF&lid=LSTSHOHBEZ7MMGHBPUF5RFSE8&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_73&otracker=search&otracker1=search&fm=Search&iid=6d6de709-55a6-41bc-9eb4-9ecde169ed9e.SHOHBEZ7MMGHBPUF.SEARCH&ppt=sp&ppn=sp&ssid=xiyw32okw00000001775908367204&qH=32e27b1148959538&ov_redirect=true,SKITTER STYLISH LIGHT WEIGHT AND COMFORTABLE SPORTS SHOES FOR WOM...more,SKITTER,508,0.07,4.1,1427
